Scenario,Label,Precision,Precision_lo,Precision_hi,Recall,Recall_lo,Recall_hi,F1,F1_lo,F1_hi,Support
DistilBERT MFRC→MFRC,care,0.5748,0.5449,0.6081,0.5368,0.5014,0.5735,0.5551,0.5256,0.5874,680
DistilBERT MFRC→MFRC,fairness,0.5414,0.5056,0.5764,0.4638,0.427,0.4993,0.4996,0.4646,0.532,705
DistilBERT MFRC→MFRC,loyalty,0.5027,0.4415,0.5674,0.3444,0.2888,0.4037,0.4088,0.3513,0.4661,270
DistilBERT MFRC→MFRC,authority,0.422,0.3756,0.4667,0.3443,0.3004,0.3882,0.3792,0.3365,0.4175,456
DistilBERT MFRC→MFRC,non-moral,0.8264,0.816,0.8372,0.8053,0.7909,0.8184,0.8157,0.8058,0.8247,3133
DistilBERT MFTC→MFTC,care,0.627,0.5966,0.6586,0.5472,0.5142,0.5802,0.5844,0.5555,0.6117,848
DistilBERT MFTC→MFTC,fairness,0.6584,0.6318,0.6877,0.6282,0.5953,0.6588,0.643,0.6173,0.6682,850
DistilBERT MFTC→MFTC,loyalty,0.5952,0.5651,0.6248,0.5386,0.5048,0.5735,0.5655,0.5372,0.5938,830
DistilBERT MFTC→MFTC,authority,0.5395,0.4935,0.58,0.3842,0.344,0.4212,0.4488,0.4081,0.4829,622
DistilBERT MFTC→MFTC,non-moral,0.8819,0.8756,0.8895,0.8773,0.869,0.8858,0.8796,0.8737,0.8857,5518
BERT MFRC→MFRC,care,0.5664,0.5373,0.5973,0.5647,0.5308,0.6,0.5655,0.5373,0.5949,680
BERT MFRC→MFRC,fairness,0.5318,0.5,0.5648,0.4865,0.4468,0.5234,0.5081,0.4754,0.5394,705
BERT MFRC→MFRC,loyalty,0.4581,0.3944,0.5204,0.3444,0.2889,0.4,0.3932,0.337,0.4481,270
BERT MFRC→MFRC,authority,0.3953,0.3525,0.436,0.3728,0.3268,0.4189,0.3837,0.3425,0.4228,456
BERT MFRC→MFRC,non-moral,0.8302,0.8201,0.8406,0.8021,0.7877,0.8162,0.8159,0.8062,0.8253,3133
BERT MFTC→MFTC,care,0.6225,0.593,0.655,0.5483,0.5165,0.5837,0.5831,0.5547,0.6113,848
BERT MFTC→MFTC,fairness,0.6416,0.6137,0.6711,0.6318,0.5988,0.6624,0.6366,0.6107,0.6627,850
BERT MFTC→MFTC,loyalty,0.5673,0.5383,0.5966,0.5434,0.5108,0.5771,0.5551,0.5273,0.5826,830
BERT MFTC→MFTC,authority,0.5228,0.4787,0.5628,0.3875,0.3473,0.4228,0.4451,0.4044,0.4787,622
BERT MFTC→MFTC,non-moral,0.8775,0.8708,0.8848,0.8775,0.8692,0.8858,0.8775,0.8722,0.8836,5518
DistilBERT MFRC→MFTC,care,0.4548,0.4446,0.4653,0.3852,0.3749,0.3958,0.4171,0.4076,0.4274,8416
DistilBERT MFRC→MFTC,fairness,0.4435,0.4307,0.4543,0.2781,0.2684,0.2874,0.3418,0.3315,0.3515,8645
DistilBERT MFRC→MFTC,loyalty,0.6249,0.6102,0.6393,0.2976,0.288,0.307,0.4032,0.3927,0.4134,8254
DistilBERT MFRC→MFTC,authority,0.4593,0.4429,0.4754,0.2183,0.2081,0.2284,0.2959,0.2839,0.3077,6409
DistilBERT MFRC→MFTC,non-moral,0.7683,0.7662,0.7705,0.8482,0.8455,0.8513,0.8063,0.8044,0.8084,54865
DistilBERT MFTC→MFRC,care,0.7933,0.7525,0.8362,0.0414,0.0369,0.0459,0.0787,0.0703,0.087,6858
DistilBERT MFTC→MFRC,fairness,0.5541,0.5188,0.5883,0.0549,0.0497,0.0599,0.0999,0.0907,0.1088,7743
DistilBERT MFTC→MFRC,loyalty,0.5,0.4244,0.5796,0.0332,0.0263,0.0402,0.0623,0.0497,0.0753,2587
DistilBERT MFTC→MFRC,authority,0.4333,0.3646,0.5092,0.017,0.0135,0.0207,0.0327,0.0261,0.0397,4584
DistilBERT MFTC→MFRC,non-moral,0.6582,0.6572,0.6593,0.9851,0.9837,0.9865,0.7892,0.7882,0.7902,30774
BERT MFRC→MFTC,care,0.4601,0.4511,0.47,0.4524,0.4415,0.4632,0.4562,0.4472,0.4654,8416
BERT MFRC→MFTC,fairness,0.4375,0.426,0.4486,0.3087,0.2989,0.3186,0.362,0.352,0.3717,8645
BERT MFRC→MFTC,loyalty,0.6011,0.5864,0.6161,0.2808,0.2708,0.2899,0.3828,0.3713,0.3937,8254
BERT MFRC→MFTC,authority,0.4407,0.4255,0.4554,0.237,0.2264,0.2468,0.3082,0.2963,0.3195,6409
BERT MFRC→MFTC,non-moral,0.7736,0.7715,0.7758,0.8423,0.8393,0.8455,0.8065,0.8045,0.8086,54865
BERT MFTC→MFRC,care,0.7737,0.7343,0.8137,0.0464,0.0414,0.0512,0.0875,0.0785,0.0962,6858
BERT MFTC→MFRC,fairness,0.5458,0.5144,0.5772,0.0661,0.0606,0.0723,0.118,0.1088,0.1282,7743
BERT MFTC→MFRC,loyalty,0.4567,0.3915,0.5311,0.0367,0.0298,0.0448,0.068,0.0555,0.0822,2587
BERT MFTC→MFRC,authority,0.4667,0.3921,0.5398,0.0183,0.0146,0.022,0.0353,0.0282,0.0424,4584
BERT MFTC→MFRC,non-moral,0.6594,0.6583,0.6605,0.982,0.9806,0.9834,0.789,0.788,0.7901,30774
